"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"21","309.1684296419159","347.2482438181816","0.0054931640625","0.009765625","0.001220703125","2280","0.0001478375458167458","32","0.0001478375458167458","0","0.0001478375458167458","0.0001478375458167458","36:0.0017947076922511795;20:0.0025918269911262837;22:0.0011037550019425135","36:68;20:68;22:68","36:0.0010543302007814948;20:0.0021143152523478703;22:0.001179249366513535","0.0054931640625","0.002197265625","Yes"
"22","255.54369231985135","123.58488286504871","0.0140380859375","0.0146484375","0.013427734375","2280","0.00026623160760918537","32","0.00026623160760918537","0","0.00026623160760918537","0.00026623160760918537","23:0.0013589964755005846;21:0.0011037550019425135","23:68;21:68","23:0.0014926129685679523;21:0.001179249366513535","0.0140380859375","0.050048828125","Yes"
"23","227.11663081807808","65.12313440863258","0.0057373046875","0.004638671875","0.0068359375","2280","0.00023582167945035665","32","0.00023582167945035665","0","0.00023582167945035665","0.00023582167945035665","22:0.0013589964755005846;24:0.0020409041059891164;16:0.0014929570129988134","22:68;24:68;16:68","22:0.0014926129685679523;24:0.0017801720021259626;16:0.0011517137500617336","0.0057373046875","0.01123046875","Yes"
"24","287.80993548430587","65.09049978129538","0.0191650390625","0.020263671875","0.01806640625","2280","0.00040988581337268694","32","0.00040988581337268694","0","0.00040988581337268694","0.00040988581337268694","23:0.0020409041059891164;25:0.0027148881599110275","23:68;25:68","23:0.0017801720021259626;25:0.0023879980381967536","0.0191650390625","0.02294921875","Yes"
"25","337.71484106424344","25.307717823596274","0.00390625","0.00634765625","0.00146484375","2280","0.00023423056789131214","32","0.00023423056789131214","0","0.00023423056789131214","0.00023423056789131214","24:0.0027148881599110275;26:0.0017215731537229828;37:0.0025375822166581186","24:68;26:68;37:68","24:0.0023879980381967536;26:0.0015548141423188666;37:0.002529605170625393","0.00390625","0.00732421875","Yes"
"26","203.70962093415713","121.94478804243822","0.025634765625","0.0419921875","0.00927734375","2280","0.00023170687534252772","32","0.00023170687534252772","0","0.00023170687534252772","0.00023170687534252772","25:0.0017215731537229828;27:0.0018548560915892243","25:68;27:68","25:0.0015548141423188666;27:0.0015806245654159112","0.025634765625","0.01806640625","Yes"
"27","413.0732059186762","58.818363190986986","0.0162353515625","0.01416015625","0.00390625","2280","0.0002322700699107563","32","0.0002322700699107563","0","0.0002322700699107563","0.0002322700699107563","26:0.0018548560915892243;28:0.001203133091697034;17:0.0013882712954585152","26:68;28:68;17:68","26:0.0015806245654159112;28:0.0012518500245599917;17:0.0014829182607548341","0.0162353515625","0.034423828125","Yes"
"28","382.0857472441606","377.80794899075636","0.0145263671875","0.01611328125","0.012939453125","2280","0.0002765276509404175","32","0.0002765276509404175","0","0.0002765276509404175","0.0002765276509404175","27:0.001203133091697034;29:0.0032086566792443316","27:68;29:68","27:0.0012518500245599917;29:0.0022076125912453004","0.0145263671875","0.132568359375","Yes"
"29","208.35063844187417","82.04461597791143","0.010009765625","0.010498046875","0.009521484375","2280","0.0001686263158377727","32","0.0001686263158377727","0","0.0001686263158377727","0.0001686263158377727","38:0.005064581564888315;28:0.0032086566792443316;30:0.0013220752831284988","38:68;28:68;30:80","38:0.0026506519115509497;28:0.0022076125912453004;30:0.001449420740290891","0.010009765625","0.027587890625","Yes"
"30","275.1406094228865","70.68267934354893","0.006103515625","0.009765625","0.00244140625","2280","0.00025332620116170557","32","0.00025332620116170557","0","0.00025332620116170557","0.00025332620116170557","31:0.003951888466685094;29:0.0013220752831284988","31:68;29:80","31:0.005704258442751714;29:0.001449420740290891","0.006103515625","0.01416015625","Yes"
"31","233.3607450603473","217.04569799513845","0.051513671875","0.035400390625","0.067626953125","2280","0.00011209531241161504","32","0.00011209531241161504","0","0.00011209531241161504","0.00011209531241161504","30:0.003951888466685094;32:0.0024694674708923836;18:0.0020781139827430184","30:68;32:68;18:68","30:0.005704258442751714;32:0.001739939564561005;18:0.0019433911623622235","0.051513671875","0.172607421875","Yes"
"32","226.36195325129842","268.52473271997206","0.0223388671875","0.025390625","0.019287109375","2280","0.00012869894115834807","32","0.00012869894115834807","0","0.00012869894115834807","0.00012869894115834807","31:0.0024694674708923836;33:0.0034424322116021755","31:68;33:68","31:0.001739939564561005;33:0.0014464906794073862","0.0223388671875","0.0087890625","Yes"
"33","209.77672317363593","319.786049591359","0.019775390625","0.01806640625","0.021484375","2280","0.00009467127813765503","32","0.00009467127813765503","0","0.00009467127813765503","0.00009467127813765503","39:0.00211393249745892;32:0.0034424322116021755;34:0.0026282285016568097","39:68;32:68;34:108","39:0.0014498490494036509;32:0.0014464906794073862;34:0.0023052718482909906","0.019775390625","0.0078125","Yes"
"34","216.10070435335655","187.1422465664708","0.04052734375","0.0302734375","0.05078125","2280","0.0001553992270175283","32","0.0001553992270175283","0","0.0001553992270175283","0.0001553992270175283","33:0.0026282285016568097;35:0.0014664917818071888","33:108;35:68","33:0.0023052718482909906;35:0.001306260048222735","0.04052734375","0.02294921875","Yes"
"35","231.8264256798168","294.8844274518846","0.029541015625","0.0498046875","0.00927734375","2280","0.00017278765009826866","32","0.00017278765009826866","0","0.00017278765009826866","0.00017278765009826866","19:0.0007384083756949988;34:0.0014664917818071888","19:68;34:68","19:0.000921088180781432;34:0.001306260048222735","0.029541015625","0.02099609375","Yes"
"36","252.01735798581612","219.72771586825104","0.01220703125","0.014892578125","0.009521484375","2280","0.00023101873600145893","32","0.00023101873600145893","0","0.00023101873600145893","0.00023101873600145893","41:0.0018989586520486712;21:0.0017947076922511795","41:68;21:68","41:0.0017976485094828298;21:0.0010543302007814948","0.01220703125","0.00390625","Yes"
"37","153.40370557867803","25.604464296353207","0.0091552734375","0.01123046875","0.007080078125","2280","0.0003513877205053425","32","0.0003513877205053425","0","0.0003513877205053425","0.0003513877205053425","45:0.0030446390213376695;25:0.0025375822166581186","45:68;25:68","45:0.002467597810593386;25:0.002529605170625393","0.0091552734375","0.009033203125","Yes"
"38","261.65144835755666","119.81110956089513","0.007568359375","0.01220703125","0.0029296875","2280","0.0002559040285168401","32","0.0002559040285168401","0","0.0002559040285168401","0.0002559040285168401","29:0.005064581564888315;49:0.0014832374750078647","29:68;49:68","29:0.0026506519115509497;49:0.0012999126214059964","0.007568359375","0.017578125","Yes"
"39","217.95601904886732","146.37178966488045","0.01171875","0.014404296875","0.009033203125","2280","0.00023500146217050096","32","0.00023500146217050096","0","0.00023500146217050096","0.00023500146217050096","53:0.0013485052402352204;33:0.00211393249745892","53:68;33:68","53:0.0011789012644013996;33:0.0014498490494036509","0.01171875","0.031494140625","Yes"
"40","386.0212949012146","23.06259416387527","0.005615234375","0.0068359375","0.00439453125","2280","0.0004029695614848156","32","0.0004029695614848156","0","0.0004029695614848156","0.0004029695614848156","41:0.0024526711959717284","41:68","41:0.002602123256085831","0.005615234375","0.2578125","Yes"
"41","372.84941099674825","49.85840505566172","0.01806640625","0.016845703125","0.019287109375","2280","0.00029449459061657064","32","0.00029449459061657064","0","0.00029449459061657064","0.00029449459061657064","40:0.0024526711959717284;42:0.0024471773629091698;36:0.0018989586520486712","40:68;42:68;36:68","40:0.002602123256085831;42:0.0026663016471234757;36:0.0017976485094828298","0.01806640625","0.0087890625","Yes"
