"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"45","97.70268324932378","112.57778017142032","0.01513671875","0.01806640625","0.01220703125","2584","0.0003744992020866684","36","0.0003744992020866684","0","0.0003744992020866684","0.0003744992020866684","44:0.003047469533271424;46:0.0036712516987100763;37:0.004737690626057334","44:68;46:68;37:68","44:0.002708364746181996;46:0.0030165699022536296;37:0.004347469744903409","0.01513671875","Yes"
"46","133.40423822938052","57.39024959122826","0.0184326171875","0.031005859375","0.005859375","2584","0.00033997369314797487","36","0.00033997369314797487","0","0.00033997369314797487","0.00033997369314797487","45:0.0036712516987100763;47:0.004152909689011275","45:68;47:68","45:0.0030165699022536296;47:0.003981747825806264","0.0184326171875","Yes"
"47","216.28227120321","159.903358559184","0.01171875","0.01708984375","0.00634765625","2584","0.00016259506150942597","36","0.00016259506150942597","0","0.00016259506150942597","0.00016259506150942597","48:0.010139025796032902;57:0.0018529974521178938;46:0.004152909689011275","48:68;57:68;46:68","48:0.007452553888165625;57:0.0019518757689133137;46:0.003981747825806264","0.01171875","Yes"
"48","296.92636502634383","262.08475773151207","0.0604248046875","0.0771484375","0.043701171875","2584","0.0025775836258749747","36","0.0025775836258749747","0","0.0025775836258749747","0.0025775836258749747","47:0.010139025796032902;49:0.00927147344033935","47:68;49:68","47:0.007452553888165625;49:0.00616184086361285","0.0604248046875","Yes"
"49","233.29845967092973","199.68799395558014","0.026123046875","0.02001953125","0.0322265625","2584","0.0005414450604172204","36","0.0005414450604172204","0","0.0005414450604172204","0.0005414450604172204","48:0.00927147344033935;50:0.0038553700421572745;38:0.002337968627272896","48:68;50:68;38:68","48:0.00616184086361285;50:0.002247400292699403;38:0.002744541286801405","0.026123046875","Yes"
"50","273.3206209365892","192.03001462812864","0.0166015625","0.024658203125","0.008544921875","2584","0.0008123734758939646","36","0.0008123734758939646","0","0.0008123734758939646","0.0008123734758939646","49:0.0038553700421572745;51:0.0035571445027671733","49:68;51:68","49:0.002247400292699403;51:0.002013001696312855","0.0166015625","Yes"
"51","234.29471604680242","302.716086314472","0.0528564453125","0.06396484375","0.041748046875","2584","0.0003000058904422488","36","0.0003000058904422488","0","0.0003000058904422488","0.0003000058904422488","50:0.0035571445027671733;52:0.0018689793520829945;58:0.0016444488364310839","50:68;52:68;58:68","50:0.002013001696312855;52:0.001487474028857183","0.0528564453125","Yes"
"52","17.72155954210149","12.492788560335397","0.0147705078125","0.01806640625","0.011474609375","2584","0.00022703890336281559","36","0.00022703890336281559","0","0.00022703890336281559","0.00022703890336281559","51:0.0018689793520829945;53:0.001984836622813735","51:68;53:68","51:0.001487474028857183;53:0.001517171906402992","0.0147705078125","Yes"
"53","298.1239580380718","342.29653876095","0.0098876953125","0.012939453125","0.0068359375","2584","0.0001744958130169647","36","0.0001744958130169647","0","0.0001744958130169647","0.0001744958130169647","39:0.0020062809912054225;52:0.001984836622813735;54:0.0012312690673958182","39:68;52:68;54:68","39:0.0022953916833595434;52:0.001517171906402992;54:0.0016220882365171607","0.0098876953125","Yes"
"54","268.645252371993","316.2177276473195","0.005615234375","0.005126953125","0.006103515625","2584","0.00016596023025299822","36","0.00016596023025299822","0","0.00016596023025299822","0.00016596023025299822","53:0.0012312690673958182;55:0.0017814282183659935","53:68;55:68","53:0.0016220882365171607;55:0.001759604727723213","0.005615234375","Yes"
"55","91.0781829997039","45.19746661927317","0.0191650390625","0.02734375","0.010986328125","2584","0.00017669810295485144","36","0.00017669810295485144","0","0.00017669810295485144","0.00017669810295485144","59:0.0016355276032727073;54:0.0017814282183659935","59:68;54:68","59:0.002728556953566885;54:0.001759604727723213","0.0191650390625","Yes"
