"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"32","133.49125382034856","144.69922962419287","0.035888671875","0.0380859375","0.03369140625","1560","0.0003304435126108942","24","0.0003304435126108942","0","0.0003304435126108942","0.0003304435126108942","31:68;33:68","31:0.03848486742230825","31:0.00796369736570654","0.035888671875","Yes"
"33","130.75897238204155","28.25058022612444","0.030029296875","0.03271484375","0.02734375","1560","0.0004064614269595532","24","0.0004064614269595532","0","0.0004064614269595532","0.0004064614269595532","39:68;32:68;34:68","39:0.0017100088804066216;34:0.002229626362512005","39:0.0019631851754912943;34:0.0022059527680962088","0.030029296875","Yes"
"34","156.7546230512054","75.08209813625645","0.0078125","0.01171875","0.00390625","1560","0.0008304316791973197","24","0.0008304316791973197","0","0.0008304316791973197","0.0008304316791973197","33:68;35:68","33:0.002229626362512005;35:0.0017835012879615642","33:0.0022059527680962088;35:0.002072469143465011","0.0078125","Yes"
"35","158.9925725143717","38.30133115229412","0.02294921875","0.03076171875","0.01513671875","1560","0.00024419987929126064","24","0.00024419987929126064","0","0.00024419987929126064","0.00024419987929126064","19:68;34:68","19:0.0020722768193152385;34:0.0017835012879615642","19:0.0017995522771420136;34:0.002072469143465011","0.02294921875","Yes"
"36","159.1974059362509","143.30210179591433","0.0048828125","0.00830078125","0.00146484375","1560","0.0005895458580236937","24","0.0005895458580236937","0","0.0005895458580236937","0.0005895458580236937","41:68;21:68","41:0.003355468999828304;21:0.00792673667876026","41:0.00220698506962988;21:0.004116233997738222","0.0048828125","Yes"
"37","152.54183890701313","142.24390386566904","0.007080078125","0.01025390625","0.00390625","1560","0.00028078350458094956","24","0.00028078350458094956","0","0.00028078350458094956","0.00028078350458094956","45:68;25:68","45:0.002118322183711413;25:0.0017885722269009863","45:0.001909222356584278;25:0.0014461830989943303","0.007080078125","Yes"
"38","121.09023464761303","164.29016974209273","0.009033203125","0.01318359375","0.0048828125","1560","0.0002699266984548064","24","0.0002699266984548064","0","0.0002699266984548064","0.0002699266984548064","29:68;49:68","29:0.0021743364316175184;49:0.05030354377521015","29:0.002524023530240588;49:0.0034251788859405996","0.009033203125","Yes"
"39","114.98121644614352","134.82308977435508","0.0166015625","0.017578125","0.015625","1560","0.0006211848852543048","24","0.0006211848852543048","0","0.0006211848852543048","0.0006211848852543048","53:68;33:68","53:0.005612337471634615;33:0.0017100088804066216","53:0.0038377847092535;33:0.0019631851754912943","0.0166015625","Yes"
"40","175.57905813632757","200.26608217557205","0.019775390625","0.0234375","0.01611328125","1560","0.000350586885733211","24","0.000350586885733211","0","0.000350586885733211","0.000350586885733211","41:68","41:0.00147499710955179","41:0.0036013065198866323","0.019775390625","Yes"
"41","214.01377717273073","149.97351650862353","0.101318359375","0.1103515625","0.09228515625","1560","0.00015282687225388165","24","0.00015282687225388165","0","0.00015282687225388165","0.00015282687225388165","40:68;42:68;36:68","40:0.00147499710955179;42:0.0021395371927849793;36:0.003355468999828304","40:0.0036013065198866323;42:0.0028104712218023353;36:0.00220698506962988","0.101318359375","Yes"
"42","163.88587663348537","37.907755026136506","0.01025390625","0.013671875","0.0068359375","1560","0.00027456449370506645","24","0.00027456449370506645","0","0.00027456449370506645","0.00027456449370506645","41:68;43:68","41:0.0021395371927849793;43:0.0036962993375006525","41:0.0028104712218023353;43:0.002829585817143293","0.01025390625","Yes"
"43","138.32257918858141","74.5110663812273","0.1103515625","0.11865234375","0.10205078125","1560","0.0002208239566324888","24","0.0002208239566324888","0","0.0002208239566324888","0.0002208239566324888","42:68;56:68;44:68","42:0.0036962993375006525;56:0.0030373974443720086;44:0.0026949523235729467","42:0.002829585817143293;56:0.0018907792546436208;44:0.0020989850572177005","0.1103515625","Yes"
"44","126.50055390680274","112.49443744851297","0.0078125","0.00927734375","0.00634765625","1560","0.0008018649455721683","24","0.0008018649455721683","0","0.0008018649455721683","0.0008018649455721683","45:68;43:68","45:0.0019435047710907316;43:0.0026949523235729467","45:0.0022728289868557405;43:0.0020989850572177005","0.0078125","Yes"
"45","161.42939475792926","123.70550458404317","0.0419921875","0.0439453125","0.0400390625","1560","0.00017247261062945714","24","0.00017247261062945714","0","0.00017247261062945714","0.00017247261062945714","44:68;46:68;37:68","44:0.0019435047710907316;46:0.002580536439568182;37:0.002118322183711413","44:0.0022728289868557405;46:0.0025640938267290636;37:0.001909222356584278","0.0419921875","Yes"
"46","195.07855200873885","11.549773238659768","0.01171875","0.01171875","0.01171875","1560","0.00037986834205176896","24","0.00037986834205176896","0","0.00037986834205176896","0.00037986834205176896","45:68;47:68","45:0.002580536439568182;47:0.0029069821058090306","45:0.0025640938267290636;47:0.002502933731657331","0.01171875","Yes"
"47","156.08246500158845","56.181679234542244","0.030029296875","0.0341796875","0.02587890625","1560","0.0003178490117629637","24","0.0003178490117629637","0","0.0003178490117629637","0.0003178490117629637","48:68;57:68;46:68","48:0.002010431679562774;57:0.00553883798919691;46:0.0029069821058090306","48:0.0016991510018407041;57:0.002524153117144712;46:0.002502933731657331","0.030029296875","Yes"
"48","123.7128233219014","42.676756005893594","0.006591796875","0.01025390625","0.0029296875","1560","0.000331395620954007","24","0.000331395620954007","0","0.000331395620954007","0.000331395620954007","47:68;49:68","47:0.002010431679562774;49:0.05004758950825794","47:0.0016991510018407041;49:0.003066990686006632","0.006591796875","Yes"
"49","156.1813473931626","31.974999056494884","0.02392578125","0.021484375","0.0263671875","1560","0.000435054616886164","24","0.000435054616886164","0","0.000435054616886164","0.000435054616886164","48:68;50:68;38:68","48:0.05004758950825794;50:0.038489910062061344;38:0.05030354377521015","48:0.003066990686006632;50:0.00693847209730214;38:0.0034251788859405996","0.02392578125","Yes"
"50","186.88082130090348","121.62799228989026","0.006103515625","0.00732421875","0.0048828125","1560","0.0002689121011152936","24","0.0002689121011152936","0","0.0002689121011152936","0.0002689121011152936","49:68;51:68","49:0.038489910062061344;51:0.0026624145809452937","49:0.00693847209730214;51:0.009275753047082669","0.006103515625","Yes"
"51","80.20630414495963","72.14274071713187","0.029296875","0.0322265625","0.0263671875","1560","0.00024770230002098975","24","0.00024770230002098975","0","0.00024770230002098975","0.00024770230002098975","50:68;52:68;58:68","50:0.0026624145809452937;52:0.0017440026524359054;58:0.0024125318477612456","50:0.009275753047082669;52:0.006012724976160205;58:0.0075208388306295115","0.029296875","Yes"
"52","200.2908363552439","134.20819598169868","0.010498046875","0.013671875","0.00732421875","1560","0.0003525675412027393","24","0.0003525675412027393","0","0.0003525675412027393","0.0003525675412027393","51:68;53:68","51:0.0017440026524359054;53:0.0028146364249246603","51:0.006012724976160205;53:0.002638675757119957","0.010498046875","Yes"
"53","126.52231592343033","13.584689052187265","0.0849609375","0.0927734375","0.0771484375","1560","0.00017584076900220834","24","0.00017584076900220834","0","0.00017584076900220834","0.00017584076900220834","39:68;52:68;54:68","39:0.005612337471634615;52:0.0028146364249246603;54:0.004880273528008322","39:0.0038377847092535;52:0.002638675757119957;54:0.003401653153626283","0.0849609375","Yes"
"54","111.32928182270274","142.72309999356676","0.006103515625","0.00732421875","0.0048828125","1560","0.0008172614442499489","24","0.0008172614442499489","0","0.0008172614442499489","0.0008172614442499489","53:68;55:68","53:0.004880273528008322;55:0.002565332685141003","53:0.003401653153626283;55:0.0041666582191280666","0.006103515625","Yes"
"55","211.04238380866633","211.81224440063332","0.067138671875","0.083984375","0.05029296875","1560","0.000562509489710042","24","0.000562509489710042","0","0.000562509489710042","0.000562509489710042","59:68;54:68","59:0.0020972577651584;54:0.002565332685141003","59:0.002502469307438998;54:0.0041666582191280666","0.067138671875","Yes"
"56","166.48301630140296","214.93049598262309","0.01123046875","0.01513671875","0.00732421875","1560","0.00039088472173814915","24","0.00039088472173814915","0","0.00039088472173814915","0.00039088472173814915","63:68;43:68","63:0.0046229154768344105;43:0.0030373974443720086","63:0.005994531927142166;43:0.0018907792546436208","0.01123046875","Yes"
"57","100.73574502618719","64.09515180390063","0.007080078125","0.009765625","0.00439453125","1560","0.0005416081838356756","24","0.0005416081838356756","0","0.0005416081838356756","0.0005416081838356756","47:68;67:68","47:0.00553883798919691;67:0.00862825056536684","47:0.002524153117144712;67:0.003734886986699104","0.007080078125","Yes"
"58","175.5245688095276","152.22257337464626","0.005859375","0.0087890625","0.0029296875","1560","0.0003556430271802788","24","0.0003556430271802788","0","0.0003556430271802788","0.0003556430271802788","71:68;51:68","71:0.0022866695405709403;51:0.0024125318477612456","71:0.002101458155494701;51:0.0075208388306295115","0.005859375","Yes"
"59","112.01342042133632","96.7025427113161","0.006103515625","0.0078125","0.00439453125","1560","0.0006631226022029183","24","0.0006631226022029183","0","0.0006631226022029183","0.0006631226022029183","55:68;75:68","55:0.0020972577651584;75:0.0027337117525518817","55:0.002502469307438998;75:0.0027469098760824484","0.006103515625","Yes"
"60","99.02910320100028","51.78026542577032","0.04541015625","0.048828125","0.0419921875","1560","0.00041728629079927583","24","0.00041728629079927583","0","0.00041728629079927583","0.00041728629079927583","61:68","61:0.0024333973964165423","61:0.0019732732009994924","0.04541015625","Yes"
